sale_id,customer_id,product_id,product_name,category,price,quantity,sale_date,total_value,age,gender,region,segment,churn,tenure_months,last_purchase_date,feedback_text,sentiment
S000001,CUST01553,P004,Desk,Furniture,-0.33141388028281776,-0.7050751873697942,2020-01-07,-0.4379715901403038,-0.11131036138599985,Female,West,Small Business,1,0.4197315909091054,2023-04-04,"Terrible experience, will not buy again.",Negative
S000002,CUST00161,P010,Projector,Electronics,1.2108734178653944,-0.7050751873697942,2023-11-10,0.41719603765540986,0.638822644332137,Female,West,Corporate,0,0.8233820363919222,2023-03-02,Excellent customer service.,Positive
S000003,CUST00627,P010,Projector,Electronics,1.2108734178653944,0.7093183680360119,2022-07-04,1.583333711922292,-0.6364034653886956,Male,South,Corporate,0,-0.27224060134715194,2023-11-04,Product quality could be better.,Neutral
S000004,CUST01291,P009,Monitor,Electronics,-0.33141388028281776,-1.4122719650726974,2023-10-18,-0.5934566133758882,-0.03629706081418617,Male,West,Consumer,0,1.5153542286481796,2023-08-18,"Delivery was late, not happy.",Positive
S000005,CUST01456,P004,Desk,Furniture,-0.33141388028281776,0.7093183680360119,2023-09-13,-0.1270015436691352,1.3889556500502738,Female,West,Consumer,0,1.2846968312294271,2023-05-14,"Delivery was late, not happy.",Positive
S000006,CUST00634,P007,Pen Pack,Office Supplies,-0.8899088261273976,1.416515145738915,2022-10-22,-0.7457023652940644,0.7138359449039506,Female,South,Consumer,0,0.7657176870372341,2023-11-14,Product quality could be better.,Neutral
S000007,CUST01463,P005,Printer,Electronics,-0.19120594408752575,-1.4122719650726974,2022-05-07,-0.554585357566992,1.1639157483348328,Male,South,Consumer,0,1.6883472767122438,2023-01-18,Excellent customer service.,Positive
S000008,CUST00235,P010,Projector,Electronics,1.2108734178653944,0.0021215903331087897,2020-04-19,1.000264874788851,-0.48637686424506826,Male,East,Corporate,1,0.30440289219972916,2023-06-28,"Terrible experience, will not buy again.",Negative
S000009,CUST01822,P010,Projector,Electronics,1.2108734178653944,1.416515145738915,2023-01-14,2.1664025490557335,-1.3115231705350188,Female,South,Small Business,1,1.5730185780028676,2023-05-26,Excellent customer service.,Positive
S000010,CUST01772,P002,Smartphone,Electronics,0.27615384323011427,-0.7050751873697942,2022-05-16,-0.10108737312987115,0.8638625460475781,Male,East,Consumer,0,-1.0795414923127855,2023-03-05,"Delivery was late, not happy.",Positive
S000011,CUST00366,P010,Projector,Electronics,1.2108734178653944,1.416515145738915,2020-06-26,2.1664025490557335,0.038716239757627516,Male,West,Corporate,0,-1.1372058416674737,2023-04-19,Product quality could be better.,Neutral
S000012,CUST01896,P004,Desk,Furniture,-0.33141388028281776,0.7093183680360119,2021-08-21,-0.1270015436691352,1.4639689506220874,Male,East,Corporate,0,1.4576898792934914,2023-11-07,"Worth the price, happy with the purchase.",Positive
S000013,CUST00283,P002,Smartphone,Electronics,0.27615384323011427,1.416515145738915,2022-03-12,0.8706940220925308,1.0138891471912055,Female,West,Small Business,1,-1.6561849858596667,2023-12-21,"Great product, very satisfied.",Positive
S000014,CUST01895,P006,Notebook,Office Supplies,-0.8875720271908094,-1.4122719650726974,2023-11-05,-0.7476459280845092,0.9388758466193917,Female,North,Corporate,1,0.07374549478097672,2023-04-28,"Worth the price, happy with the purchase.",Positive
S000015,CUST00549,P004,Desk,Furniture,-0.33141388028281776,-1.4122719650726974,2020-02-28,-0.5934566133758882,-1.0114699682477641,Male,East,Consumer,0,-0.5605623481205926,2023-10-15,Excellent customer service.,Positive
S000016,CUST01921,P010,Projector,Electronics,1.2108734178653944,1.416515145738915,2023-11-02,2.1664025490557335,0.7138359449039506,Male,South,Consumer,0,-0.6758910468299688,2023-08-26,"Great product, very satisfied.",Positive
S000017,CUST01430,P005,Printer,Electronics,-0.19120594408752575,0.7093183680360119,2022-10-31,0.02848347956644911,0.2637561414730686,Female,South,Consumer,0,0.8233820363919222,2023-08-06,"Met expectations, nothing special.",Neutral
